trade_date,open,high,low,close,volume,openinterest
2023-03-09,1542.7,1547.25,1495.98,1503.96,1736064.76,0
2023-03-10,1481.17,1511.93,1481.17,1497.12,856996.1,0
2023-03-13,1494.84,1514.21,1481.17,1486.87,1000634.96,0
2023-03-14,1480.03,1481.17,1450.41,1466.36,1149075.58,0
2023-03-15,1486.87,1501.68,1474.33,1486.87,979363.72,0
2023-03-16,1468.64,1484.59,1458.38,1460.66,916792.49,0
2023-03-17,1480.03,1485.73,1441.29,1452.69,1556814.14,0
2023-03-20,1453.83,1464.08,1429.9,1432.18,1188816.33,0
2023-03-21,1441.29,1456.1,1424.2,1446.99,840743.17,0
2023-03-22,1452.69,1467.5,1448.13,1457.24,876690.77,0
2023-03-23,1446.99,1469.78,1439.01,1469.78,804306.04,0
2023-03-24,1464.08,1465.22,1453.83,1460.66,621518.75,0
2023-03-27,1458.38,1459.52,1419.65,1435.6,1008422.14,0
2023-03-28,1442.43,1450.41,1429.9,1440.15,673868.43,0
2023-03-29,1450.41,1451.55,1424.2,1427.62,596064.33,0
2023-03-30,1429.9,1448.13,1413.95,1444.71,824546.24,0
2023-03-31,1445.85,1454.97,1425.34,1427.62,865491.66,0
2023-04-03,1429.9,1445.85,1419.65,1443.57,740428.86,0
2023-04-04,1440.15,1449.27,1434.46,1441.29,647457.22,0
2023-04-06,1435.6,1436.74,1424.2,1433.32,563321.3,0
2023-04-07,1432.18,1445.85,1424.2,1437.87,607925.26,0
2023-04-10,1440.15,1446.99,1433.32,1444.71,640181.81,0
2023-04-11,1446.99,1449.27,1426.48,1428.76,777779.62,0
2023-04-12,1433.32,1434.46,1418.51,1421.92,909957.06,0
2023-04-13,1413.95,1443.57,1401.42,1431.04,1131591.46,0
2023-04-14,1435.6,1469.78,1433.32,1445.85,1297994.84,0
2023-04-17,1442.43,1474.33,1435.6,1473.2,1304212.59,0
2023-04-18,1473.2,1503.96,1468.64,1481.17,1538936.15,0
2023-04-19,1483.45,1489.15,1461.8,1464.08,1014378.15,0
2023-04-20,1469.78,1469.78,1437.87,1452.69,811788.41,0
2023-04-21,1446.99,1461.8,1421.92,1424.2,918668.39,0
2023-04-24,1421.92,1424.2,1370.65,1378.63,1467671.92,0
2023-04-25,1383.19,1409.39,1380.91,1399.14,1301900.82,0
2023-04-26,1395.72,1395.72,1366.1,1380.91,991260.4,0
2023-04-27,1374.07,1407.11,1367.23,1396.86,1004093.37,0
2023-04-28,1396.86,1456.1,1392.3,1429.9,1445254.34,0
2023-05-04,1412.81,1461.8,1388.88,1450.41,1478264.38,0
2023-05-05,1456.1,1493.7,1452.69,1470.92,1762188.65,0
2023-05-08,1474.33,1537.0,1462.94,1517.63,2630718.61,0
2023-05-09,1526.75,1549.53,1495.98,1499.4,2422534.45,0
2023-05-10,1500.54,1510.79,1458.38,1462.94,1237053.39,0
2023-05-11,1475.47,1494.84,1458.38,1464.08,903758.44,0
2023-05-12,1460.66,1466.36,1436.74,1437.87,885603.68,0
2023-05-15,1444.71,1464.08,1418.51,1461.8,928325.63,0
2023-05-16,1458.38,1472.06,1432.18,1437.87,998301.69,0
2023-05-17,1433.32,1440.15,1417.37,1423.06,754621.2,0
2023-05-18,1432.18,1440.15,1416.23,1423.06,687186.87,0
2023-05-19,1416.23,1417.37,1403.69,1405.97,688413.68,0
2023-05-22,1402.55,1418.51,1402.55,1410.53,549327.85,0
2023-05-23,1410.53,1413.95,1391.16,1391.16,694364.36,0
2023-05-24,1390.02,1391.16,1368.37,1368.37,824250.88,0
2023-05-25,1366.1,1367.23,1345.59,1359.26,882744.3,0
2023-05-26,1359.26,1382.05,1349.0,1378.63,511428.64,0
2023-05-29,1379.77,1382.05,1361.54,1364.96,566073.82,0
2023-05-30,1364.96,1366.1,1344.45,1352.42,763996.92,0
2023-05-31,1346.73,1349.0,1319.38,1321.66,1179586.71,0
2023-06-01,1321.66,1330.77,1310.26,1320.52,743022.93,0
2023-06-02,1330.77,1363.81,1326.22,1359.26,1221842.53,0
2023-06-05,1353.56,1367.23,1346.72,1356.98,521846.19,0
2023-06-06,1356.98,1377.49,1346.72,1349.0,833273.47,0
2023-06-07,1354.7,1375.21,1353.56,1360.4,643697.84,0
2023-06-08,1362.67,1390.02,1351.28,1380.9,869397.12,0
2023-06-09,1374.07,1377.49,1350.14,1353.56,1315284.76,0
2023-06-12,1346.72,1355.84,1339.89,1343.31,758747.03,0
2023-06-13,1339.89,1349.0,1331.91,1341.03,849988.05,0
2023-06-14,1348.04,1369.04,1337.53,1338.7,1069200.04,0
2023-06-15,1341.03,1357.37,1329.36,1355.04,925300.56,0
